TASK	BEST	SCORE	LEADER	💎	🥇	🥈	🥉	SOLUTIONS	GOLDS
040	69	2431	💎jailctf merger	69	69	70	71	34	1
041	49	2451	🥇 x13	-1	49	-1	-1	38	13
042	136	2364	💎jailctf merger	136	136	139	-1	29	1
043	56	2444	🥇 x3	-1	56	-1	-1	37	3
044	195	2305	💎jailctf merger	195	195	222	239	28	1
045	45	2455	🥇 x8	-1	45	-1	-1	40	8
046	168	2332	💎jailctf merger	168	168	170	178	28	1
047	55	2445	🥇 x7	-1	55	-1	-1	37	7
048	92	2408	💎jailctf merger	92	92	95	118	31	1
049	81	2419	🥇 x3	-1	81	-1	-1	35	3
050	85	2415	💎Code Golf International	85	85	88	91	33	1
051	115	2385	🥇 x3	-1	115	-1	-1	31	3
052	40	2460	🥇 x10	-1	40	-1	-1	39	10
053	21	2479	🥇 x19	-1	21	-1	-1	39	19
054	279	2221	💎jailctf merger	279	279	283	309	28	1
055	79	2421	💎jailctf merger	79	79	83	85	34	1
056	40	2460	🥇 x4	-1	40	-1	-1	36	4
057	48	2452	🥇 x2	-1	48	-1	49	36	2
058	103	2397	🥇 x2	-1	103	-1	110	31	2
059	156	2344	💎jailctf merger	156	156	167	-1	31	1
060	47	2453	🥇 x3	-1	47	-1	-1	38	3
061	63	2437	🥇 x11	-1	63	-1	-1	34	11
062	130	2370	💎jailctf merger	130	130	143	148	29	1
063	74	2426	💎Code Golf International	74	74	75	77	33	1
064	152	2348	🥇 x2	-1	152	-1	155	29	2
065	91	2409	💎ox jam	91	91	100	-1	34	1
066	262	2238	💎import itertools	262	262	267	268	29	1
067	33	2467	🥇 x32	-1	33	-1	-1	39	32
068	112	2388	💎jailctf merger	112	112	116	119	32	1
069	150	2350	💎jailctf merger	150	150	151	159	31	1
070	78	2422	💎jailctf merger	78	78	81	82	33	1
071	117	2383	💎intgrah jimboko awu macaque sammyuri	117	117	119	122	28	1
072	54	2446	🥇 x2	-1	54	-1	60	39	2
073	46	2454	🥇 x15	-1	46	-1	-1	37	15
074	77	2423	💎jailctf merger	77	77	79	80	31	1
075	86	2414	🥇 x5	-1	86	-1	-1	33	5
076	273	2227	💎jailctf merger	273	273	295	303	27	1
077	125	2375	💎jailctf merger	125	125	126	-1	28	1
078	60	2440	🥇 x2	-1	60	-1	61	38	2
079	122	2378	💎jailctf merger	122	122	123	-1	30	1
080	253	2247	💎ox jam	253	253	255	-1	27	1
081	90	2410	💎jailctf merger	90	90	92	95	34	1
082	50	2450	🥇 x11	-1	50	-1	-1	38	11
083	40	2460	🥇 x33	-1	40	-1	-1	39	33
084	62	2438	🥇 x6	-1	62	-1	-1	37	6
085	50	2450	💎jailctf merger	50	50	56	57	35	1
086	172	2328	💎ox jam	172	172	176	179	26	1
087	36	2464	🥇 x37	-1	36	-1	-1	38	37
088	101	2399	💎jailctf merger	101	101	102	106	32	1
089	236	2264	💎ox jam	236	236	242	275	27	1
090	159	2341	💎Code Golf International	159	159	160	170	28	1
091	63	2437	🥇 x5	-1	63	-1	-1	33	5
092	86	2414	💎Code Golf International	86	86	87	93	31	1
093	98	2402	💎jailctf merger	98	98	99	100	28	1
094	98	2402	💎jailctf merger	98	98	102	106	31	1
095	73	2427	💎jailctf merger	73	73	75	76	34	1
096	284	2216	💎ox jam	284	284	298	303	28	1
097	108	2392	🥇 x4	-1	108	-1	-1	32	4
098	88	2412	💎jailctf merger	88	88	90	92	33	1
099	112	2388	💎jailctf merger	112	112	115	116	28	1
100	85	2415	💎Code Golf International	85	85	88	-1	29	1
101	274	2226	💎jailctf merger	274	274	281	326	27	1
102	148	2352	💎import itertools	148	148	150	166	29	1
103	29	2471	🥇 x17	-1	29	-1	-1	39	17
104	84	2416	💎jailctf merger	84	84	85	92	33	1
105	127	2373	💎import itertools	127	127	145	148	28	1
106	66	2434	💎intgrah jimboko awu macaque sammyuri	66	66	67	-1	35	1
107	143	2357	💎biz	143	143	161	168	33	1
108	56	2444	💎jailctf merger	56	56	57	58	36	1
109	80	2420	💎jailctf merger	80	80	81	82	32	1
110	85	2415	💎jailctf merger	85	85	89	109	30	1
111	60	2440	🥇 x3	-1	60	-1	-1	36	3
112	106	2394	🥇 x2	-1	106	-1	109	31	2
113	25	2475	🥇 x25	-1	25	-1	-1	38	25
114	64	2436	🥇 x3	-1	64	-1	-1	35	3
115	52	2448	🥇 x2	-1	52	-1	54	34	2
116	20	2480	🥇 x37	-1	20	-1	-1	38	37
117	148	2352	🥇 x2	-1	148	-1	154	27	2
118	269	2231	💎jailctf merger	269	269	273	277	29	1
119	106	2394	🥇 x2	-1	106	-1	107	28	2
120	97	2403	💎jailctf merger	97	97	99	101	32	1
121	89	2411	🥇 x2	-1	89	-1	90	32	2
122	75	2425	💎jailctf merger	75	75	78	82	28	1
123	72	2428	💎ShadowPrompt Labs	72	72	75	-1	32	1
124	96	2404	💎jailctf merger	96	96	97	100	29	1
125	119	2381	🥇 x2	-1	119	-1	126	28	2
126	54	2446	🥇 x3	-1	54	-1	-1	38	3
127	65	2435	🥇 x2	-1	65	-1	72	35	2
128	59	2441	🥇 x2	-1	59	-1	60	34	2
129	47	2453	🥇 x8	-1	47	-1	-1	37	8
130	65	2435	🥇 x11	-1	65	-1	-1	36	11
131	125	2375	💎ox jam	125	125	132	134	32	1
132	86	2414	🥇 x3	-1	86	-1	-1	35	3
133	291	2209	💎jailctf merger	291	291	298	320	28	1
134	152	2348	🥇 x2	-1	152	-1	174	28	2
135	32	2468	🥇 x27	-1	32	-1	-1	39	27
136	105	2395	🥇 x2	-1	105	-1	107	32	2
137	137	2363	💎jailctf merger	137	137	141	143	30	1
138	103	2397	💎intgrah jimboko awu macaque sammyuri	103	103	104	-1	28	1
139	90	2410	💎biz	90	90	93	95	32	1
140	36	2464	🥇 x37	-1	36	-1	-1	38	37
141	94	2406	💎jailctf merger	94	94	96	100	34	1
142	40	2460	🥇 x22	-1	40	-1	-1	39	22
143	135	2365	💎jailctf merger	135	135	137	140	28	1
144	53	2447	🥇 x2	-1	53	-1	57	39	2
145	187	2313	💎import itertools	187	187	189	191	30	1
146	58	2442	🥇 x8	-1	58	-1	-1	36	8
147	83	2417	💎ox jam	83	83	84	-1	32	1
148	140	2360	💎jailctf merger	140	140	148	153	28	1
149	75	2425	💎jailctf merger	75	75	77	79	33	1
150	30	2470	🥇 x38	-1	30	-1	-1	38	38
151	108	2392	🥇 x2	-1	108	-1	110	34	2
152	40	2460	🥇 x24	-1	40	-1	-1	38	24
153	133	2367	💎jailctf merger	133	133	141	153	27	1
154	98	2402	💎jailctf merger	98	98	99	101	28	1
155	18	2482	🥇 x38	-1	18	-1	-1	38	38
156	146	2354	💎jailctf merger	146	146	152	156	28	1
157	244	2256	🥇 x2	-1	244	-1	246	31	2
158	269	2231	🥇 x2	-1	269	-1	272	28	2
159	107	2393	💎jailctf merger	107	107	109	110	28	1
160	105	2395	🥇 x2	-1	105	-1	107	29	2
161	82	2418	🥇 x4	-1	82	-1	-1	31	4
162	96	2404	💎Code Golf International	96	96	97	101	34	1
163	131	2369	💎jailctf merger	131	131	136	140	30	1
164	32	2468	🥇 x38	-1	32	-1	-1	38	38
165	131	2369	🥇 x2	-1	131	-1	136	29	2
166	61	2439	🥇 x2	-1	61	-1	63	35	2
167	71	2429	💎jailctf merger	71	71	72	-1	34	1
168	110	2390	💎jailctf merger	110	110	112	116	28	1
169	126	2374	💎intgrah jimboko awu macaque sammyuri	126	126	129	133	29	1
170	180	2320	💎import itertools	180	180	196	-1	27	1
171	51	2449	🥇 x6	-1	51	-1	-1	37	6
172	20	2480	🥇 x38	-1	20	-1	-1	38	38
173	217	2283	💎jailctf merger	217	217	219	220	30	1
174	89	2411	💎jailctf merger	89	89	97	-1	30	1
175	75	2425	🥇 x4	-1	75	-1	-1	28	4
176	64	2436	🥇 x2	-1	64	-1	68	34	2
177	51	2449	🥇 x3	-1	51	-1	-1	38	3
178	47	2453	💎jailctf merger	47	47	49	-1	37	1
179	21	2479	🥇 x29	-1	21	-1	-1	38	29
180	79	2421	🥇 x2	-1	79	-1	81	34	2
181	67	2433	🥇 x3	-1	67	-1	-1	37	3
182	169	2331	💎jailctf merger	169	169	175	187	27	1
183	93	2407	💎jailctf merger	93	93	94	-1	34	1
184	91	2409	💎jailctf merger	91	91	93	100	31	1
185	120	2380	💎import itertools	120	120	137	138	27	1
186	60	2440	🥇 x4	-1	60	-1	-1	37	4
187	92	2408	🥇 x2	-1	92	-1	94	31	2
188	61	2439	💎jailctf merger	61	61	64	67	34	1
189	111	2389	🥇 x2	-1	111	-1	113	29	2
190	105	2395	💎jailctf merger	105	105	109	112	31	1
191	238	2262	💎jailctf merger	238	238	244	245	27	1
192	110	2390	💎jailctf merger	110	110	115	-1	28	1
193	81	2419	💎jailctf merger	81	81	85	86	32	1
194	66	2434	💎intgrah jimboko awu macaque sammyuri	66	66	67	-1	34	1
195	105	2395	🥇 x4	-1	105	-1	-1	28	4
196	110	2390	💎biz	110	110	111	112	31	1
197	54	2446	🥇 x16	-1	54	-1	-1	36	16
198	120	2380	💎import itertools	120	120	122	-1	28	1
199	84	2416	🥇 x3	-1	84	-1	-1	31	3
200	84	2416	💎jailctf merger	84	84	86	89	33	1
201	199	2301	💎jailctf merger	199	199	208	218	29	1
202	102	2398	🥇 x2	-1	102	-1	105	29	2
203	64	2436	🥇 x2	-1	64	-1	67	32	2
204	93	2407	🥇 x3	-1	93	-1	-1	30	3
205	148	2352	💎jailctf merger	148	148	161	166	26	1
206	144	2356	💎jailctf merger	144	144	148	149	30	1
207	81	2419	🥇 x3	-1	81	-1	-1	33	3
208	199	2301	💎jailctf merger	199	199	223	225	27	1
209	268	2232	💎jailctf merger	268	268	273	292	27	1
210	20	2480	🥇 x38	-1	20	-1	-1	38	38
211	48	2452	🥇 x8	-1	48	-1	-1	36	8
212	105	2395	💎jailctf merger	105	105	112	117	29	1
213	87	2413	💎intgrah jimboko awu macaque sammyuri	87	87	88	89	31	1
214	62	2438	🥇 x3	-1	62	-1	-1	33	3
215	42	2458	💎jailctf merger	42	42	44	-1	36	1
216	114	2386	🥇 x2	-1	114	-1	122	28	2
217	95	2405	🥇 x2	-1	95	-1	96	33	2
218	56	2444	🥇 x2	-1	56	-1	58	31	2
219	244	2256	💎import itertools	244	244	257	277	26	1
220	87	2413	💎jailctf merger	87	87	88	89	33	1
221	87	2413	🥇 x3	-1	87	-1	-1	29	3
222	103	2397	💎ox jam	103	103	107	114	28	1
223	51	2449	🥇 x4	-1	51	-1	-1	37	4
224	171	2329	💎ox jam	171	171	177	178	28	1
225	127	2373	💎jailctf merger	127	127	129	132	28	1
226	133	2367	💎JRKKX	133	133	137	143	31	1
227	52	2448	🥇 x2	-1	52	-1	54	36	2
228	116	2384	💎jailctf merger	116	116	119	-1	32	1
229	73	2427	🥇 x6	-1	73	-1	-1	35	6
230	111	2389	💎import itertools	111	111	114	-1	32	1
231	43	2457	🥇 x18	-1	43	-1	-1	38	18
232	58	2442	🥇 x2	-1	58	-1	60	36	2
233	286	2214	💎jailctf merger	286	286	297	306	30	1
234	109	2391	💎biz	109	109	114	-1	30	1
235	61	2439	🥇 x2	-1	61	-1	62	34	2
236	54	2446	🥇 x2	-1	54	-1	60	35	2
237	67	2433	💎ox jam	67	67	68	-1	32	1
238	222	2278	💎jailctf merger	222	222	223	233	27	1
239	99	2401	💎ox jam	99	99	104	105	33	1
240	99	2401	💎Code Golf International	99	99	106	113	28	1
241	21	2479	🥇 x30	-1	21	-1	-1	37	30
242	54	2446	🥇 x10	-1	54	-1	-1	36	10
243	79	2421	🥇 x5	-1	79	-1	-1	33	5
244	63	2437	💎import itertools	63	63	64	65	32	1
245	100	2400	💎jailctf merger	100	100	106	115	28	1
246	105	2395	🥇 x3	-1	105	-1	-1	32	3
247	95	2405	🥇 x2	-1	95	-1	96	29	2
248	72	2428	💎jailctf merger	72	72	73	74	34	1
249	26	2474	🥇 x37	-1	26	-1	-1	37	37
250	104	2396	💎intgrah jimboko awu macaque sammyuri	104	104	114	116	27	1
251	88	2412	🥇 x2	-1	88	-1	89	31	2
252	57	2443	🥇 x3	-1	57	-1	-1	35	3
253	121	2379	💎jailctf merger	121	121	129	133	30	1
254	84	2416	💎jailctf merger	84	84	91	94	32	1
255	240	2260	💎jailctf merger	240	240	244	252	26	1
256	95	2405	💎jailctf merger	95	95	96	98	33	1
257	74	2426	💎jailctf merger	74	74	75	80	32	1
258	61	2439	🥇 x10	-1	61	-1	-1	37	10
259	84	2416	💎jailctf merger	84	84	85	-1	33	1
260	135	2365	💎jailctf merger	135	135	140	-1	27	1
261	47	2453	🥇 x8	-1	47	-1	-1	38	8
262	39	2461	🥇 x6	-1	39	-1	-1	37	6
263	122	2378	🥇 x3	-1	122	-1	-1	31	3
264	189	2311	💎jailctf merger	189	189	209	216	27	1
265	104	2396	💎Code Golf International	104	104	107	130	27	1
266	102	2398	🥇 x4	-1	102	-1	-1	32	4
267	46	2454	🥇 x2	-1	46	-1	50	37	2
268	218	2282	💎jailctf merger	218	218	236	239	27	1
269	63	2437	🥇 x3	-1	63	-1	-1	35	3
270	116	2384	💎jailctf merger	116	116	117	119	28	1
271	86	2414	💎ox jam	86	86	92	93	32	1
272	89	2411	💎jailctf merger	89	89	93	95	33	1
273	88	2412	💎biz	88	88	109	116	29	1
274	71	2429	🥇 x5	-1	71	-1	-1	34	5
275	136	2364	💎ox jam	136	136	138	144	31	1
276	38	2462	🥇 x20	-1	38	-1	-1	38	20
277	164	2336	💎jailctf merger	164	164	184	189	27	1
278	107	2393	💎intgrah jimboko awu macaque sammyuri	107	107	118	-1	31	1
279	106	2394	💎intgrah jimboko awu macaque sammyuri	106	106	107	111	27	1
280	179	2321	💎Code Golf International	179	179	182	-1	29	1
281	138	2362	💎import itertools	138	138	145	-1	28	1
282	83	2417	🥇 x2	-1	83	-1	89	33	2
283	82	2418	💎jailctf merger	82	82	88	94	31	1
284	201	2299	💎jailctf merger	201	201	220	227	28	1
285	283	2217	💎THUNDER THUNDER	283	283	286	294	26	1
286	107	2393	💎intgrah jimboko awu macaque sammyuri	107	107	108	109	29	1
287	56	2444	💎jailctf merger	56	56	59	60	33	1
288	88	2412	🥇 x3	-1	88	-1	-1	28	3
289	63	2437	🥇 x3	-1	63	-1	-1	33	3
290	67	2433	🥇 x2	-1	67	-1	69	35	2
291	61	2439	💎jailctf merger	61	61	62	-1	35	1
292	56	2444	🥇 x5	-1	56	-1	-1	36	5
293	59	2441	💎jailctf merger	59	59	60	-1	34	1
294	70	2430	🥇 x3	-1	70	-1	-1	34	3
295	54	2446	🥇 x4	-1	54	-1	-1	34	4
296	63	2437	🥇 x8	-1	63	-1	-1	35	8
297	43	2457	🥇 x7	-1	43	-1	-1	37	7
298	55	2445	🥇 x4	-1	55	-1	-1	35	4
299	54	2446	🥇 x8	-1	54	-1	-1	34	8
300	87	2413	🥇 x4	-1	87	-1	-1	35	4
301	31	2469	🥇 x23	-1	31	-1	-1	38	23
302	89	2411	🥇 x2	-1	89	-1	93	32	2
303	62	2438	💎Code Golf International	62	62	63	-1	36	1
304	92	2408	🥇 x6	-1	92	-1	-1	34	6
305	57	2443	🥇 x3	-1	57	-1	-1	34	3
306	63	2437	💎import itertools	63	63	71	75	31	1
307	50	2450	🥇 x2	-1	50	-1	51	37	2
308	226	2274	💎jailctf merger	226	226	235	242	29	1
309	38	2462	🥇 x20	-1	38	-1	-1	38	20
310	78	2422	💎Code Golf International	78	78	81	-1	32	1
311	32	2468	🥇 x38	-1	32	-1	-1	38	38
312	44	2456	🥇 x5	-1	44	-1	-1	38	5
313	63	2437	💎jailctf merger	63	63	64	-1	34	1
314	95	2405	💎intgrah jimboko awu macaque sammyuri	95	95	96	97	30	1
315	63	2437	🥇 x6	-1	63	-1	-1	36	6
316	71	2429	🥇 x4	-1	71	-1	-1	34	4
317	59	2441	🥇 x6	-1	59	-1	-1	35	6
318	54	2446	🥇 x2	-1	54	-1	58	37	2
319	194	2306	💎jailctf merger	194	194	207	240	27	1
320	66	2434	💎intgrah jimboko awu macaque sammyuri	66	66	68	-1	33	1
321	55	2445	🥇 x2	-1	55	-1	57	37	2
322	48	2452	🥇 x7	-1	48	-1	-1	38	7
323	102	2398	💎jailctf merger	102	102	106	119	31	1
324	242	2258	💎import itertools	242	242	258	260	27	1
325	159	2341	🥇 x2	-1	159	-1	161	32	2
326	30	2470	🥇 x20	-1	30	-1	-1	37	20
327	67	2433	🥇 x14	-1	67	-1	-1	35	14
328	160	2340	💎jailctf merger	160	160	163	166	30	1
329	54	2446	🥇 x16	-1	54	-1	-1	38	16
330	134	2366	💎Code Golf International	134	134	135	136	29	1
331	83	2417	🥇 x3	-1	83	-1	-1	32	3
332	58	2442	🥇 x2	-1	58	-1	61	36	2
333	89	2411	🥇 x2	-1	89	-1	94	29	2
334	66	2434	🥇 x2	-1	66	-1	69	35	2
335	107	2393	💎Code Golf International	107	107	108	113	31	1
336	93	2407	💎jailctf merger	93	93	96	98	30	1
337	46	2454	🥇 x7	-1	46	-1	-1	37	7
338	64	2436	🥇 x2	-1	64	-1	65	31	2
339	37	2463	🥇 x21	-1	37	-1	-1	37	21
340	119	2381	💎Code Golf International	119	119	122	129	29	1
341	115	2385	💎intgrah jimboko awu macaque sammyuri	115	115	121	129	29	1
342	110	2390	💎jailctf merger	110	110	112	-1	32	1
343	65	2435	🥇 x15	-1	65	-1	-1	31	15
344	78	2422	🥇 x5	-1	78	-1	-1	31	5
345	90	2410	💎jailctf merger	90	90	93	95	33	1
346	55	2445	🥇 x2	-1	55	-1	58	32	2
347	50	2450	🥇 x6	-1	50	-1	-1	37	6
348	94	2406	💎ox jam	94	94	101	105	31	1
349	194	2306	💎jailctf merger	194	194	214	233	27	1
350	91	2409	💎Code Golf International	91	91	94	96	33	1
351	67	2433	🥇 x4	-1	67	-1	-1	33	4
352	84	2416	🥇 x5	-1	84	-1	-1	32	5
353	92	2408	💎Code Golf International	92	92	93	104	35	1
354	96	2404	🥇 x2	-1	96	-1	98	33	2
355	98	2402	💎jailctf merger	98	98	99	101	28	1
356	105	2395	🥇 x5	-1	105	-1	-1	32	5
357	86	2414	🥇 x3	-1	86	-1	-1	30	3
358	92	2408	💎intgrah jimboko awu macaque sammyuri	92	92	96	97	30	1
359	64	2436	🥇 x17	-1	64	-1	-1	30	17
360	45	2455	🥇 x12	-1	45	-1	-1	38	12
361	193	2307	🥇 x2	-1	193	-1	195	30	2
362	69	2431	🥇 x4	-1	69	-1	-1	31	4
363	212	2288	💎jailctf merger	212	212	217	-1	30	1
364	149	2351	💎jailctf merger	149	149	155	161	27	1
365	111	2389	💎Code Golf International	111	111	112	123	30	1
366	358	2142	💎jailctf merger	358	358	365	371	28	1
367	127	2373	💎intgrah jimboko awu macaque sammyuri	127	127	128	129	26	1
368	138	2362	💎ox jam	138	138	142	-1	32	1
369	109	2391	💎jailctf merger	109	109	112	113	31	1
370	256	2244	🥇 x2	-1	256	-1	259	27	2
371	109	2391	💎ox jam	109	109	114	115	32	1
372	48	2452	🥇 x14	-1	48	-1	-1	38	14
373	38	2462	💎kambarakun	38	38	39	-1	37	1
374	108	2392	💎intgrah jimboko awu macaque sammyuri	108	108	111	112	29	1
375	53	2447	🥇 x11	-1	53	-1	-1	38	11
376	30	2470	🥇 x12	-1	30	-1	-1	38	12
377	55	2445	🥇 x3	-1	55	-1	-1	32	3
378	143	2357	💎jailctf merger	143	143	144	145	30	1
379	137	2363	💎intgrah jimboko awu macaque sammyuri	137	137	141	154	29	1
380	27	2473	🥇 x30	-1	27	-1	-1	38	30
381	79	2421	💎jailctf merger	79	79	84	86	32	1
382	131	2369	💎jailctf merger	131	131	134	138	27	1
383	121	2379	🥇 x2	-1	121	-1	123	27	2
384	62	2438	🥇 x3	-1	62	-1	-1	34	3
385	25	2475	🥇 x22	-1	25	-1	-1	37	22
386	52	2448	🥇 x5	-1	52	-1	-1	38	5
387	202	2298	💎jailctf merger	202	202	215	225	28	1
388	61	2439	🥇 x3	-1	61	-1	-1	36	3
389	57	2443	🥇 x5	-1	57	-1	-1	36	5
390	98	2402	💎jailctf merger	98	98	99	101	29	1
391	63	2437	🥇 x8	-1	63	-1	-1	36	8
392	149	2351	🥇 x2	-1	149	-1	156	31	2
393	63	2437	🥇 x10	-1	63	-1	-1	35	10
394	91	2409	🥇 x2	-1	91	-1	92	29	2
395	53	2447	🥇 x2	-1	53	-1	56	35	2
396	179	2321	💎Code Golf International	179	179	184	188	30	1
397	121	2379	💎jailctf merger	121	121	125	127	31	1
398	77	2423	💎jailctf merger	77	77	79	-1	33	1
399	63	2437	💎intgrah jimboko awu macaque sammyuri	63	63	64	-1	36	1
400	67	2433	🥇 x5	-1	67	-1	-1	34	5
